Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDA22,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.084436394,7.435,168.6158,3.5
Low Fat,FDG47,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069605676,12.800,261.9252,3.5
Regular,FDR37,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.066237024,16.500,183.1292,3.5
Regular,FDX46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058105769,12.300,60.4562,3.5
Low Fat,FDS12,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.291438755,9.100,126.8362,3.5
Low Fat,FDG50,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.02556185,7.405,89.7146,3.5
Low Fat,FDP25,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.035497039,15.200,216.7824,3.5
Low Fat,FDA15,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.026818196,9.300,248.9092,3.5
Low Fat,FDI56,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.156307983,7.325,92.2146,3.5
Low Fat,DRD25,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.132183029,6.135,115.0860,3.5
Low Fat,DRJ24,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.189689886,11.800,184.3924,3.5
Regular,FDP59,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.094512029,20.850,104.5648,3.5
Regular,FDA07,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.051794958,7.550,122.6072,3.5
Regular,FDU33,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.225476528,7.630,45.1402,3.5
Regular,FDV34,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.019123874,10.695,73.0038,3.5
Low Fat,DRF15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0,18.350,151.9340,3.5
Low Fat,FDX09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065194971,9.000,177.7370,3.5
Low Fat,FDH41,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.081943273,9.000,214.5534,3.5
Low Fat,FDN31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.072820885,11.500,191.2530,3.5
Low Fat,DRK47,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.064011067,7.905,230.2694,3.5
Low Fat,NCK54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0,12.150,117.6150,3.5
Low Fat,NCG18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.02295878,15.300,101.6332,3.5
Low Fat,FDC58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.041907414,10.195,43.8428,3.5
Low Fat,FDA45,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.155250377,21.250,175.7370,3.5
Low Fat,DRF37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.084262458,17.250,261.5910,3.5
Regular,FDM36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.058681957,11.650,170.4422,3.5
Regular,FDB37,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.022921735,20.250,240.7538,3.5
Regular,FDY38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.119077255,13.600,231.2300,3.5
Regular,FDA02,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.029697925,14.000,143.0786,3.5
Regular,FDK08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.122202946,9.195,100.1016,3.5
Low Fat,FDJ22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.052766297,18.750,189.7504,3.5
Low Fat,FDF02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.103894671,16.200,101.2990,3.5
Low Fat,FDF41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.131714183,12.150,245.8460,3.5
Low Fat,FDG04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.006087409,13.100,185.0898,3.5
Low Fat,FDC56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.122015744,7.720,121.7440,3.5
Low Fat,DRK47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.064325351,7.905,230.2694,3.5
Low Fat,NCV53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01889024,8.270,238.1880,3.5
Low Fat,NCN30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017062427,16.350,98.1410,3.5
Low Fat,NCO42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024756031,21.250,146.7102,3.5
Low Fat,FDA34,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014921093,11.500,173.9080,3.5
Low Fat,FDG47,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069902438,12.800,261.3252,3.5
Regular,FDI60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038477325,7.220,62.9510,3.5
Regular,FDF24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.025473816,15.500,83.1934,3.5
Regular,FDG20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.126199917,15.500,178.4028,3.5
Regular,FDG09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.048131556,20.600,187.1556,3.5
Regular,FDE10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09031453,6.670,130.5626,3.5
Low Fat,FDV23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.105324246,11.000,125.7046,3.5
Low Fat,FDX13,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.047551568,7.725,249.1092,3.5
Low Fat,FDD51,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.119371835,11.150,45.2744,3.5
Low Fat,FDY50,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.130321652,5.800,88.7172,3.5
Low Fat,FDE32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048522793,20.700,39.6506,3.5
Low Fat,FDG44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,6.130,55.7298,3.5
Low Fat,FDL44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.012215675,18.250,162.7894,3.5
Low Fat,NCO41,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018757586,12.500,96.9384,3.5
Low Fat,NCU29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.025354072,7.685,144.4760,3.5
Low Fat,NCD55,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024213354,14.000,42.4454,3.5
Low Fat,NCG54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.079419801,12.100,172.3106,3.5
Low Fat,FDK33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011180843,17.850,213.4560,3.5
Low Fat,DRG01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044660955,14.800000000000002,74.7670,3.5
Low Fat,DRH01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.097429924,17.500,172.8738,3.5
Regular,FDW60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016979326,5.440,177.0370,3.5
Regular,FDZ50,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,12.800,184.2608,3.5
Regular,FDA52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.127800388,16.200,177.0370,3.5
Regular,FDG10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.010886324,6.630,57.2588,3.5
Low Fat,FDN15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016760075,17.500,141.6180,3.4
Low Fat,FDP33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,18.700,256.6672,3.4
Low Fat,NCW29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028907832,14.000,130.4310,3.4
Low Fat,FDX25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,16.700,181.2292,3.4
Low Fat,FDQ56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.105761491,6.590,84.8908,3.4
Regular,FDM24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0,6.135,151.3366,3.4
Low Fat,FDB44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.016944719,6.655,209.2586,3.4
Regular,FDZ23,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.112985849,17.750,185.4240,3.4
Low Fat,DRJ39,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036319195,20.250,219.3482,3.4
Low Fat,FDT38,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0576269,18.700,83.3566,3.4
Low Fat,DRD27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.023876985,18.750,97.4042,3.4
Low Fat,FDX44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.043033346,9.300,89.4172,3.4
Low Fat,FDX19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09688421,19.100,233.5958,3.4
Low Fat,NCO42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024693927,21.250,144.1102,3.4
Low Fat,FDF59,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.071354774,12.500,125.7020,3.4
Regular,FDE04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018051091,19.750,179.8660,3.4
Regular,DRZ11,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.112840108,8.850,122.0388,3.4
Low Fat,DRL59,Hard Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.037160705,16.750,54.2298,3.4
Low Fat,FDO57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.19033746,20.750,159.4578,3.4
Regular,FDU45,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.06216667,15.600,112.3518,3.4
Low Fat,FDJ48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056434817,11.300,247.8118,3.4
Low Fat,NCK29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0,5.615,121.9730,3.4
Low Fat,FDV39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.007279889,11.300,199.3426,3.4
Low Fat,FDV55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05507343,17.750,145.1444,3.4
Regular,FDA35,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.053837561,14.850,120.8072,3.4
Regular,FDZ57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037764307,10.000,127.2994,3.4
Regular,FDO49,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.033052168,10.600,49.7008,3.4
Low Fat,DRL47,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038815341,19.700,124.2362,3.4
Low Fat,NCM26,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.023274107,20.500,154.1340,3.4
Low Fat,FDS13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124758619,6.465,264.1884,3.4
Low Fat,FDF52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.066918731,9.300,184.2292,3.4
Low Fat,FDC20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.024020078,10.650,57.2272,3.4
Low Fat,DRI11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03447406,8.260,117.0834,3.4
Low Fat,DRO35,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.034640466,13.850,116.1492,3.4
Low Fat,NCA42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0,6.965,159.6604,3.4
Low Fat,FDL27,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.010652508,6.170,65.6826,3.4
Low Fat,FDT03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01001904,21.250,184.6608,3.4
Low Fat,FDY21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.173833129,15.100,196.5110,3.4
Low Fat,FDB15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137584599,10.895,262.2568,3.4
Low Fat,DRH01,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.098457814,17.500,171.7738,3.4
Regular,FDN23,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.07566089,6.575,145.4444,3.4
Regular,FDN38,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.092158377,6.615,251.1408,3.4
Regular,FDA01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.054488534,15.000,57.5904,3.4
Regular,FDB14,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.102932246,20.250,93.2120,3.4
Regular,FDS33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.12367891,6.670,88.9514,3.4
Regular,FDU57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.089735804,8.270,148.7708,3.4
Regular,FDJ38,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.040432954,8.600,191.6530,3.4
Regular,FDH14,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.047073322,17.100,138.6838,3.4
Regular,FDV16,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.083399788,7.750,34.5558,3.4
Low Fat,NCB19,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.090278634,6.525,86.7882,3.4
Low Fat,FDD11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,12.850,254.7040,3.4
Low Fat,NCR29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054630544,7.565,57.3930,3.4
Low Fat,NCM54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.050929429,17.700,129.1678,3.4
Low Fat,DRB24,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020573334,8.785,156.4656,3.4
Low Fat,DRE49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0,20.750,153.0024,3.4
Regular,FDC16,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020565921,11.500,86.0540,3.4
Low Fat,FDW47,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.077622622,15.000,121.8414,3.4
Low Fat,DRO47,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.187841082,10.195,112.4860,3.4
Low Fat,NCK53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.062903297,11.600,100.4042,3.4
Low Fat,FDY21,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0,15.100,197.2110,3.4
Regular,FDS56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.064871045,5.785,262.1252,3.4
Low Fat,FDX23,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.029667053,6.445,94.4436,3.4
Low Fat,FDF12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.08235926,8.235,147.6076,3.4
Low Fat,FDS13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.124402507,6.465,266.1884,3.4
Low Fat,FDS20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.053822086,8.850,183.8292,3.4
Low Fat,FDU08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.027292686,10.300,101.2042,3.4
Low Fat,NCS17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.080434451,18.600,93.4436,3.4
Low Fat,FDW45,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.038978526,18.000,148.6418,3.4
Low Fat,DRH36,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0,16.200,73.4696,3.4
Regular,FDP40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.034328578,4.555,110.1544,3.4
Regular,FDV20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.059751638,20.200,129.1678,3.4
Regular,FDB57,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.018789455,20.250,222.0772,3.4
Regular,FDX31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.014813268,20.350,234.9958,3.4
Low Fat,FDO40,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032761024,17.100,148.8392,3.4
Low Fat,FDZ52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.100482186,19.200,111.8886,3.4
Low Fat,FDX20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042733625,7.365,226.9720,3.4
Regular,FDF29,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.020015391,15.100,128.8310,3.4
Regular,FDQ07,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.087762922,15.100,221.5456,3.4
Low Fat,FDX45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.105282932,16.750,156.9630,3.4
Low Fat,FDP60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.055648052,17.350,100.3016,3.4
Low Fat,NCI43,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.025842951,19.850,48.6376,3.4
Low Fat,FDG31,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037712875,12.150,64.4826,3.4
Regular,FDW38,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.138008431,5.325,54.8298,3.4
Regular,FDP36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,10.395,51.4008,3.3
Low Fat,NCD06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.099887103,13.000,45.9060,3.3
Low Fat,DRE60,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.278974075,9.395,225.3720,3.3
Low Fat,NCO26,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.076841095,7.235,117.5492,3.3
Low Fat,FDF20,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033287541,12.850,198.4768,3.3
Low Fat,FDT59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015908424,13.650,231.1668,3.3
Low Fat,NCR41,Health and Hygiene,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01806055,17.850,97.0094,3.3
Regular,FDF53,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.083590755,20.750,182.2318,3.3
Low Fat,DRF15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03334929,18.350,155.0340,3.3
Low Fat,NCL53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036234918,7.500,175.3028,3.3
Low Fat,DRE12,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0704378,4.590,112.8860,3.3
Low Fat,FDS51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032230526,13.350,61.4194,3.3
Low Fat,FDX59,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0514111,10.195,33.0558,3.3
Low Fat,FDC26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.126579586,10.195,112.2886,3.3
Low Fat,FDI44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100388706,16.100,76.0328,3.3
Low Fat,NCQ53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018934719,17.600,237.7590,3.3
Regular,FDN25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.061270647,7.895,56.7588,3.3
Regular,FDZ08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.110163385,12.500,83.6592,3.3
Regular,FDG33,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.140458316,5.365,169.7764,3.3
Regular,FDU46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011143599,10.300,88.2540,3.3
Regular,FDC59,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,16.700,63.6168,3.3
Regular,FDZ07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.094037291,15.100,62.3194,3.3
Low Fat,FDU38,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.144534212,10.800,190.6504,3.3
Low Fat,NCN41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.091411749,17.000,121.3730,3.3
Low Fat,NCX05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.169943195,15.199999999999998,116.2492,3.3
Low Fat,DRJ24,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.198424841,11.800,185.2924,3.3
Regular,FDU33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.235859408,7.630,46.1402,3.3
Low Fat,FDT48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045955031,4.920,199.1084,3.3
Low Fat,FDG24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014631149,7.975,84.5250,3.3
Low Fat,FDY50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.130955811,5.800,90.3172,3.3
Low Fat,FDP26,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.139552827,7.785,105.6306,3.3
Low Fat,FDA14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065183228,16.100,148.0760,3.3
Low Fat,NCV29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022843501,11.800,177.8686,3.3
Low Fat,FDW34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035579135,9.600,244.4170,3.3
Low Fat,DRD25,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0,6.135,114.2860,3.3
Regular,FDL48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082266419,19.350,48.8034,3.3
Regular,FDJ38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.040205535,8.600,188.7530,3.3
Regular,FDF39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019511288,14.850,262.5910,3.3
Regular,FDA27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030927632,20.350,256.8672,3.3
Regular,FDE41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064014173,9.195,83.3566,3.3
Regular,FDS04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.146662938,10.195,138.6838,3.3
Regular,FDP44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079713576,16.500,101.3332,3.3
Low Fat,FDR23,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.081953387,15.850,176.2370,3.3
Low Fat,FDD51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,11.150,44.7744,3.3
Low Fat,DRN11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.163310805,7.850,143.5444,3.3
Low Fat,NCO29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.032321608,11.150,165.6526,3.3
Low Fat,NCZ41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.064551885,19.850,125.2704,3.3
Low Fat,NCW54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.09660879,7.500,56.9588,3.3
Low Fat,DRE15,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0,13.350,75.7012,3.3
Low Fat,DRD27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.023974769,18.750,99.0042,3.3
Low Fat,FDM40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0,10.195,143.1154,3.3
Low Fat,FDL20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.129140919,17.100,109.4886,3.3
Low Fat,FDB32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.023585598,20.600,94.7778,3.3
Low Fat,NCP53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.033076388,14.750,237.2906,3.3
Low Fat,NCX17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.114246019,21.250,231.2300,3.3
Low Fat,NCZ18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0,7.825,253.4698,3.3
Low Fat,NCD55,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024468806,14.000,41.1454,3.3
Low Fat,FDD34,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.01596609,7.945,163.5210,3.3
Low Fat,FDS57,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0,15.500,141.5470,3.3
Low Fat,FDI33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.028579565,16.500,90.3146,3.3
Low Fat,FDY45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.026289984,17.500,253.7356,3.3
Low Fat,FDR21,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.067314073,19.700,175.1370,3.3
Low Fat,FDH10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.049583899,21.000,193.8478,3.3
Regular,FDQ47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.168527463,7.155,33.6874,3.3
Regular,FDQ55,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.013064516,13.650,115.5834,3.3
Regular,FDP08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.112638016,20.500,195.5478,3.3
Regular,FDD10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.046114018,20.600,178.2344,3.3
Regular,FDO52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.07760107,11.600,171.0106,3.3
Regular,FDZ28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.051783761,20.000,125.8678,3.3
Low Fat,NCE06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.091467933,5.825,159.7894,3.3
Low Fat,NCN26,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.028674471,10.850,115.1808,3.3
Low Fat,DRG36,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.095360186,14.150,172.3106,3.3
Low Fat,FDX23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029686148,6.445,96.4436,3.3
Low Fat,FDZ56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.025732114,16.250,166.4474,3.3
Low Fat,FDL20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128390273,17.100,111.9886,3.3
Low Fat,NCU54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.098603729,8.880,210.7270,3.3
Low Fat,NCO18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024646608,13.150,177.4686,3.3
